ID;ACTE;DESCRIPCIO;EMAIL_ACTE;WEB_ACTE;A_CARREC;LLOC;DATA_INI;DATA_FI;GRATUIT;PREU;HORA_INI;HORA_FI;IMATGE;DISTRICTE;TIPUS_ACTE;OBSERVACIONS;CICLE;DESCRIPCIOCICLE;CICLE_DATA_INI;CICLE_DATA_FI;DATA_PUB;X;Y;LONGITUD;LATITUD;URL
80613;Projeccions d òpera: Manon;Teatre;;;;Espai Musical de Terrassa - ESMUT;2015-06-27 17:00:00;2015-06-27 ;T;;01/01/1900 17:00:00;;;1;;;III TEMPORADA D ÒPERA DE L ESMUT                                                                                                                                                                        ;;2014-09-13;2015-06-27;2015-02-06;418758,705;4601741,0301;2,0245746232324;41.5613696324296;http://www.terrassa.cat/veureacte?numActe=80613
80913;Taller familiar:  Fes la teva felicitació de Nadal ;Literatura i poesia;bd3@terrassa.cat                                                                                    ;;;Biblioteca Districte 3 - BD3;2015-12-10 17:30:00;2015-12-10 19:00:00;F;;01/01/1900 17:30:00;01/01/1900 19:00:00;;3;;Taller adreçat a infants de 6 a 12 anys. Places limitades. Cal inscripció prèvia a la biblioteca.;;;;;2015-03-05;418412,8125;4601133,0625;2,0205096600361;41.5558590031147;http://www.terrassa.cat/veureacte?numActe=80913
81064;Exposició:  L Arqueologia de la mort a Terrassa ;Exposicions;bd4@terrasa.cat                                                                                     ;http://www.terrassa.cat/agenda-cultural                                                             ;;Biblioteca Districte 4 - BD4;2015-10-13 ;2015-10-31 ;T;;;;;4;;Produïda pel Museu de Terrassa i patrocinada per la Funerària de Terrassa;;;;;2015-03-05;416598,3321;4601276,4798;1,998734287762;41.5569633541812;http://www.terrassa.cat/veureacte?numActe=81064
81117;Inauguració exposició:  Personnel I ;Exposicions;;;TERESA PUIG;Centre de Documentació i Museu Tèxtil - CDMT;2015-12-14 12:30:00;2015-12-14 ;F;;01/01/1900 12:30:00;;;1;;;;;;;2015-02-06;418355,875;4602149,25;2,0196887629231;41.5650050279025;http://www.terrassa.cat/veureacte?numActe=81117
81118;Taller Furoshiki de Nadal;Cursos;;;;Centre de Documentació i Museu Tèxtil - CDMT;2015-12-13 10:30:00;2015-12-13 ;F;20 euros                                                                                                                                                                                                                                                       ;01/01/1900 10:30:00;;;1;;;;;;;2015-02-06;418355,875;4602149,25;2,0196887629231;41.5650050279025;http://www.terrassa.cat/veureacte?numActe=81118
81119;Taller de cors teixits per Nadal;Cursos;;;;Centre de Documentació i Museu Tèxtil - CDMT;2015-12-14 11:30:00;2015-12-14 ;T;;01/01/1900 11:30:00;;;1;;;;;;;2015-02-06;418355,875;4602149,25;2,0196887629231;41.5650050279025;http://www.terrassa.cat/veureacte?numActe=81119
81120;Taller.  Aquest cop la brodem ;Cursos;;;;Centre de Documentació i Museu Tèxtil - CDMT;2015-12-23 16:30:00;2015-12-23 ;T;;01/01/1900 16:30:00;;;1;;;;;;;2015-03-05;418355,875;4602149,25;2,0196887629231;41.5650050279025;http://www.terrassa.cat/veureacte?numActe=81120
81187;Xerrem: grups de conversa en català;Literatura i poesia;bd4@terrassa.cat                                                                                    ;http://www.terrassa.cat/ca/xerrem                                                                   ;CAL I VEU PRÒPIA;Biblioteca Districte 4 - BD4;2015-06-15 16:00:00;2015-06-15 17:30:00;T;;01/01/1900 16:00:00;01/01/1900 17:30:00;;4;;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.;XERREM: GRUPS DE CONVERSA EN CATALÀ                                                                                                                                                                     ;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Per telèfon a cadascuna de les biblioteques o bé enviant un correu a xerremterrassa@)gmail.com Quan i on ho farem? A la bct.  Els dissabtes de 11:00 12:30h. A la bd2. Els dimarts i divendres de 16:30 a 18:00h. A la bd3. Els dilluns de 19:00h a 20:30h i els dimarts de 10:30h a 12:00h. A la bd4. Els dilluns i dimecres de 16h a 17.30h A la bd6. Els dimarts, dijous  i divendres de 10:30 a 12:00h.  Informa-te n al 93 789 45 89 (bct), 93 786 91 62 (bd2), 93 739 70 14 (bd3), 93 739 74 23 (bd4) i al 93 739 74 20 (bd6)  ;2010-01-01;2020-01-01;2015-04-28;416598,3321;4601276,4798;1,998734287762;41.5569633541812;http://www.terrassa.cat/veureacte?numActe=81187
81188;Xerrem: grups de conversa en català;Literatura i poesia;bd4@terrassa.cat                                                                                    ;http://www.terrassa.cat/ca/xerrem                                                                   ;CAL I VEU PRÒPIA;Biblioteca Districte 4 - BD4;2015-06-17 16:00:00;2015-06-17 17:30:00;T;;01/01/1900 16:00:00;01/01/1900 17:30:00;;4;;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.;XERREM: GRUPS DE CONVERSA EN CATALÀ                                                                                                                                                                     ;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Per telèfon a cadascuna de les biblioteques o bé enviant un correu a xerremterrassa@)gmail.com Quan i on ho farem? A la bct.  Els dissabtes de 11:00 12:30h. A la bd2. Els dimarts i divendres de 16:30 a 18:00h. A la bd3. Els dilluns de 19:00h a 20:30h i els dimarts de 10:30h a 12:00h. A la bd4. Els dilluns i dimecres de 16h a 17.30h A la bd6. Els dimarts, dijous  i divendres de 10:30 a 12:00h.  Informa-te n al 93 789 45 89 (bct), 93 786 91 62 (bd2), 93 739 70 14 (bd3), 93 739 74 23 (bd4) i al 93 739 74 20 (bd6)  ;2010-01-01;2020-01-01;2015-05-12;416598,3321;4601276,4798;1,998734287762;41.5569633541812;http://www.terrassa.cat/veureacte?numActe=81188
81189;Xerrem: grups de conversa en català;Literatura i poesia;bd4@terrassa.cat                                                                                    ;http://www.terrassa.cat/ca/xerrem                                                                   ;CAL I VEU PRÒPIA;Biblioteca Districte 4 - BD4;2015-06-22 16:00:00;2015-06-22 17:30:00;T;;01/01/1900 16:00:00;01/01/1900 17:30:00;;4;;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.;XERREM: GRUPS DE CONVERSA EN CATALÀ                                                                                                                                                                     ;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Per telèfon a cadascuna de les biblioteques o bé enviant un correu a xerremterrassa@)gmail.com Quan i on ho farem? A la bct.  Els dissabtes de 11:00 12:30h. A la bd2. Els dimarts i divendres de 16:30 a 18:00h. A la bd3. Els dilluns de 19:00h a 20:30h i els dimarts de 10:30h a 12:00h. A la bd4. Els dilluns i dimecres de 16h a 17.30h A la bd6. Els dimarts, dijous  i divendres de 10:30 a 12:00h.  Informa-te n al 93 789 45 89 (bct), 93 786 91 62 (bd2), 93 739 70 14 (bd3), 93 739 74 23 (bd4) i al 93 739 74 20 (bd6)  ;2010-01-01;2020-01-01;2015-03-05;416598,3321;4601276,4798;1,998734287762;41.5569633541812;http://www.terrassa.cat/veureacte?numActe=81189
81207;La   bededós  presenta....;Literatura i poesia;bd2@terrassa.cat                                                                                    ;http://www.terrassa.cat/ca/bd2                                                                      ;;Biblioteca Districte 2 - BD2;2015-06-19 17:30:00;2015-06-19 18:00:00;F;;01/01/1900 17:30:00;01/01/1900 18:00:00;;2;;Presentació de les darreres novetats infantils i juvenils arribades a la biblioteca.  Més informació al 937 869 162;;;;;2015-05-08;419161,9672;4602096,365;2,0293622826613;41.564610698772;http://www.terrassa.cat/veureacte?numActe=81207
81346;Exposició:  Migracions: arrels que ens enriqueixen ;Exposicions;bd4@terrassa.cat                                                                                    ;http://www.terrassa.cat/ca/bd4                                                                      ;SERVEI DE CIUTADANIA I DRETS CIVILS;Biblioteca Districte 4 - BD4;2015-06-01 ;2015-06-13 ;T;;;;;4;;Exposició impulsada pel Servei de Ciutadania i Drets Civils i protagonitzada per participants del projecte Voluntariat d Intercanvi Cultural. A través de fotos i cites textuals de terrassencs i terrassenques de diferents orígens, es pretén posar en valor el passat migratori d aquesta ciutat i sobretot el seu present intercultural.;;;;;2015-03-23;416598,3321;4601276,4798;1,998734287762;41.5569633541812;http://www.terrassa.cat/veureacte?numActe=81346
81443;Fira-mercat INTERCANVI, PROMOCIÓ DEL COL.LECCIONISME I ANTIGUITATS ;Altres activitats;;http://colleccionistesgrupterrassa.wordpress.com/                                                   ;;;2015-01-01 ;2015-12-31 ;F;;;;;1;;;;;;;2015-05-12;;;;;http://www.terrassa.cat/veureacte?numActe=81443
81636;XERREM: grup de conversa en català;Literatura i poesia;bd2@terrassa.cat                                                                                    ;http://www.terrassa.cat/xerrem                                                                      ;CAL I VEU PRÒPIA;Biblioteca Districte 2 - BD2;2015-06-12 16:30:00;2015-06-12 18:00:00;T;;01/01/1900 16:30:00;01/01/1900 18:00:00;;2;;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Telefona ns al 934 159 002 un dia feiner o envia ns un correu a xerrem@)cal.cat Quan o on ho farem? Els dimarts i dijous de 18:00 a 19:30h a la bd2. Informa t-en al 937 869 162  ;XERREM: GRUPS DE CONVERSA EN CATALÀ                                                                                                                                                                     ;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Per telèfon a cadascuna de les biblioteques o bé enviant un correu a xerremterrassa@)gmail.com Quan i on ho farem? A la bct.  Els dissabtes de 11:00 12:30h. A la bd2. Els dimarts i divendres de 16:30 a 18:00h. A la bd3. Els dilluns de 19:00h a 20:30h i els dimarts de 10:30h a 12:00h. A la bd4. Els dilluns i dimecres de 16h a 17.30h A la bd6. Els dimarts, dijous  i divendres de 10:30 a 12:00h.  Informa-te n al 93 789 45 89 (bct), 93 786 91 62 (bd2), 93 739 70 14 (bd3), 93 739 74 23 (bd4) i al 93 739 74 20 (bd6)  ;2010-01-01;2020-01-01;2015-05-08;419161,9672;4602096,365;2,0293622826613;41.564610698772;http://www.terrassa.cat/veureacte?numActe=81636
81637;XERREM: grup de conversa en català;Literatura i poesia;bd2@terrassa.cat                                                                                    ;http://www.terrassa.cat/xerrem                                                                      ;CAL I VEU PRÒPIA;Biblioteca Districte 2 - BD2;2015-06-16 16:30:00;2015-06-16 18:00:00;T;;01/01/1900 16:30:00;01/01/1900 18:00:00;;2;;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Telefona ns al 934 159 002 un dia feiner o envia ns un correu a xerrem@)cal.cat Quan o on ho farem? Els dimarts i dijous de 18:00 a 19:30h a la bd2. Informa t-en al 937 869 162  ;XERREM: GRUPS DE CONVERSA EN CATALÀ                                                                                                                                                                     ;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Per telèfon a cadascuna de les biblioteques o bé enviant un correu a xerremterrassa@)gmail.com Quan i on ho farem? A la bct.  Els dissabtes de 11:00 12:30h. A la bd2. Els dimarts i divendres de 16:30 a 18:00h. A la bd3. Els dilluns de 19:00h a 20:30h i els dimarts de 10:30h a 12:00h. A la bd4. Els dilluns i dimecres de 16h a 17.30h A la bd6. Els dimarts, dijous  i divendres de 10:30 a 12:00h.  Informa-te n al 93 789 45 89 (bct), 93 786 91 62 (bd2), 93 739 70 14 (bd3), 93 739 74 23 (bd4) i al 93 739 74 20 (bd6)  ;2010-01-01;2020-01-01;2015-05-12;419161,9672;4602096,365;2,0293622826613;41.564610698772;http://www.terrassa.cat/veureacte?numActe=81637
81638;XERREM: grup de conversa en català;Literatura i poesia;bd2@terrassa.cat                                                                                    ;http://www.terrassa.cat/xerrem                                                                      ;CAL I VEU PRÒPIA;Biblioteca Districte 2 - BD2;2015-06-19 16:30:00;2015-06-19 18:00:00;T;;01/01/1900 16:30:00;01/01/1900 18:00:00;;2;;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Telefona ns al 934 159 002 un dia feiner o envia ns un correu a xerrem@)cal.cat Quan o on ho farem? Els dimarts i dijous de 18:00 a 19:30h a la bd2. Informa t-en al 937 869 162  ;XERREM: GRUPS DE CONVERSA EN CATALÀ                                                                                                                                                                     ;Grups de conversa a prop teu per parlar en català amb fluïdesa i seguretat.  Parlarem... de les qüestions que parla la gent quan es troba al carrer, en un bar, en una sala d espera...Qüestions habituals en què podem intervenir fàcilment: de nosaltres: del vestir, del menjar, del treball, del descans, de la salut...dels altres: de la família, dels amics i amigues, dels companys, de les veïnes... Del món: de la natura, del temps, dels animals, de les plantes, del mar, del clima, de l ecologia... del que necessitem: de la rutina diària, de l aigua, de la casa, de la feina, del transport, dels diners... del que ens agrada: de les aficions, de sortides i viatges, de festes, de jocs, dels espectacles. Aconseguiràs...  Conèixer i comunicar-te amb persones de llocs diversos amb un interès comú.  Parlar el català amb seguretat i confiança allà on vulguis. Fer nous amics i amigues.  Conèixer una mica més el país on vivim.  Tenir una experiència engrescadora.  Quant costa? Res. És gratuït. Jo m hi puc apuntar? Si ets major d edat i ja saps una mica de català, però encara no t atreveixes a seguir una conversa una mica llarga, no t hi pensis més: endavant! Com m hi puc apuntar? Per telèfon a cadascuna de les biblioteques o bé enviant un correu a xerremterrassa@)gmail.com Quan i on ho farem? A la bct.  Els dissabtes de 11:00 12:30h. A la bd2. Els dimarts i divendres de 16:30 a 18:00h. A la bd3. Els dilluns de 19:00h a 20:30h i els dimarts de 10:30h a 12:00h. A la bd4. Els dilluns i dimecres de 16h a 17.30h A la bd6. Els dimarts, dijous  i divendres de 10:30 a 12:00h.  Informa-te n al 93 789 45 89 (bct), 93 786 91 62 (bd2), 93 739 70 14 (bd3), 93 739 74 23 (bd4) i al 93 739 74 20 (bd6)  ;2010-01-01;2020-01-01;2015-05-08;419161,9672;4602096,365;2,0293622826613;41.564610698772;http://www.terrassa.cat/veureacte?numActe=81638
81952;Cinefòrum:  Tomboy ;Dones;polgenere@terrassa.cat                                                                              ;http://www.terrassa.cat/dona                                                                        ;;Cinema Catalunya;2015-06-29 16:30:00;2015-06-29 18:30:00;F;Aportació de 2 euros                                                                                                                                                                                                                                           ;01/01/1900 16:30:00;01/01/1900 18:30:00;;1;;La temàtica tractada es la transsexualitat i identitat sexual a la infancia;CINEFÒRUM  LES DONES  2015                                                                                                                                                                              ;;2015-02-23;2015-11-23;2015-02-06;417629,2002;4601958,6767;2,01100090581;41.5632141414593;http://www.terrassa.cat/veureacte?numActe=81952
81953;Cinefòrum:  Katmandú.un espejo en el cielo ;Dones;polgenere@terrassa.cat                                                                              ;http://www.terrassa.cat/dona                                                                        ;;Cinema Catalunya;2015-09-28 16:30:00;2015-09-28 18:30:00;F;Aportació de 2 euros                                                                                                                                                                                                                                           ;01/01/1900 16:30:00;01/01/1900 18:30:00;;1;;La temàtica tractada és la dona i la implicació social;CINEFÒRUM  LES DONES  2015                                                                                                                                                                              ;;2015-02-23;2015-11-23;2015-02-26;417629,2002;4601958,6767;2,01100090581;41.5632141414593;http://www.terrassa.cat/veureacte?numActe=81953
81954;Cinefòrum:  La bicicleta verde ;Dones;polgenere@terrassa.cat                                                                              ;http://www.terrassa.cat/dona                                                                        ;;Cinema Catalunya;2015-11-23 16:30:00;2015-11-23 18:30:00;F;Aportació de 2 euros                                                                                                                                                                                                                                           ;01/01/1900 16:30:00;01/01/1900 18:30:00;;1;;La temàtica tractada és les nenes i la violència masclista;CINEFÒRUM  LES DONES  2015                                                                                                                                                                              ;;2015-02-23;2015-11-23;2015-02-06;417629,2002;4601958,6767;2,01100090581;41.5632141414593;http://www.terrassa.cat/veureacte?numActe=81954
